id,property_type,state,region,lat,lon,area_m2,price_brl,city
1,apartment,Pernambuco,Northeast,-8.134204,-34.906326,72.0,414222.98,Recife
2,apartment,Pernambuco,Northeast,-8.1266642,-34.903924,136.0,848408.53,Recife
3,apartment,Pernambuco,Northeast,-8.1255503,-34.907601,75.0,299438.28,Recife
4,apartment,Pernambuco,Northeast,-8.1202489,-34.89592,187.0,848408.53,Recife
5,apartment,Pernambuco,Northeast,-8.142666,-34.906906,80.0,464129.36,Recife
6,apartment,Pernambuco,Northeast,-8.1376709,-34.913349,94.0,294447.66,Recife
7,apartment,Pernambuco,Northeast,-8.1415992,-34.909179,80.0,314410.19,Recife
8,apartment,Pernambuco,Northeast,-8.1273367,-34.902712,54.0,419213.6,Recife
9,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,,349344.66,Recife
10,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63.0,449157.45,Recife
11,apartment,Pernambuco,Northeast,-8.1267642,-34.903425,105.0,548970.21,Recife
12,apartment,Pernambuco,Northeast,-8.1109179,-34.898785,88.0,369307.22,Recife
13,apartment,Pernambuco,Northeast,-8.140095,-34.90444,167.0,998127.67,Recife
14,apartment,Pernambuco,Northeast,-8.1272168,-34.89868,170.0,848408.53,Recife
15,apartment,Pernambuco,Northeast,-8.1170788,-34.899475,,419213.6,Recife
16,apartment,Pernambuco,Northeast,-8.1411081,-34.90887,64.0,339363.39,Recife
17,apartment,Pernambuco,Northeast,-8.1205721,-34.900301,81.0,369307.22,Recife
18,apartment,Pernambuco,Northeast,-8.1255503,-34.907601,72.0,359325.95,Recife
19,apartment,Pernambuco,Northeast,-8.1311923,-34.905777,83.0,389269.77,Recife
20,apartment,Pernambuco,Northeast,-8.1286491,-34.906648,,399251.07,Recife
21,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63.0,329382.13,Recife
22,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73.0,399251.07,Recife
23,apartment,Pernambuco,Northeast,-8.1381022,-34.904297,88.0,479101.27,Recife
24,apartment,Pernambuco,Northeast,-8.1135593,-34.899778,109.0,289457.01,Recife
25,apartment,Pernambuco,Northeast,-8.1201808,-34.901596,80.0,379288.51,Recife
26,apartment,Pernambuco,Northeast,-8.1421058,-34.906731,104.0,568932.77,Recife
27,apartment,Pernambuco,Northeast,-8.1260517,-34.902553,73.0,349344.66,Recife
28,apartment,Pernambuco,Northeast,-8.1384551,-34.909165,69.0,394260.42,Recife
29,apartment,Pernambuco,Northeast,-8.1211048,-34.907255,90.0,379288.51,Recife
30,apartment,Pernambuco,Northeast,-8.1100714,-34.893698,183.0,1522144.71,Recife
31,apartment,Pernambuco,Northeast,-8.126948,-34.905159,98.0,598876.59,Recife
