id,property_type,state,region,lat,lon,area_m2,price_brl,city
1,house,SP,southeast,-23.60459730071331,-46.65275289259601,1000,7000000.0,São Paulo
2,house,SP,southeast,-23.640562850393003,-46.68740844960784,524,3700000.0,São Paulo
3,house,SP,southeast,-22.88098891953809,-43.56623595543834,125,380000.0,São Paulo
4,house,SP,southeast,-23.4674102,-47.4404657,310,685000.0,São Paulo
5,apartment,SP,southeast,-3.7589682,-38.5399422,100,540000.0,São Paulo
6,house,SP,southeast,-22.882240219953253,-43.50488553564466,440,1980000.0,São Paulo
7,house,SP,southeast,-23.60250575,-46.85894535,145,850000.0,São Paulo
8,apartment,SP,southeast,-23.66743105,-46.7319272,150,450000.0,São Paulo
9,apartment,SP,southeast,43.3585846,-8.4181381,50,199900.0,São Paulo
10,house,SP,southeast,-23.60037610227358,-46.561584167248384,114,585000.0,São Paulo
11,house,SP,southeast,-23.5767392,-46.6122028,261,700000.0,São Paulo
12,house,SP,southeast,-23.64705085,-46.78020523242816,436,15000.0,São Paulo
13,house,SP,southeast,-23.60090525,-46.66920059539155,193,2500000.0,São Paulo
14,house,SP,southeast,-23.654047033444506,-46.67620857164529,251,1700000.0,São Paulo
15,house,SP,southeast,-23.481439666663512,-46.642135977495144,300,1150000.0,São Paulo
16,house,SP,southeast,-23.57431302784536,-46.87591039280868,500,1999000.0,São Paulo
17,apartment,SP,southeast,-23.54997346470021,-46.50773696230104,135,550000.0,São Paulo
18,house,SP,southeast,-23.59285811895402,-46.531324187524234,180,420000.0,São Paulo
19,house,SP,southeast,-23.48764861022341,-46.690867376983064,300,2232000.0,São Paulo
20,house,SP,southeast,-22.882240219953253,-43.50488553564466,772,2700000.0,São Paulo
21,house,SP,southeast,-23.585228979482704,-46.668132933631,605,4190000.0,São Paulo
22,apartment,SP,southeast,-23.6186089,-46.618625249999994,110,860000.0,São Paulo
23,house,SP,southeast,-23.40758830314901,-46.87198738383406,95,375000.0,São Paulo
24,house,SP,southeast,-23.513841418399927,-46.42601862225825,250,650000.0,São Paulo
25,house,SP,southeast,-23.471575919383127,-46.60184629428122,120,490000.0,São Paulo
26,house,SP,southeast,-23.542929909492056,-46.70914740694414,170,1485000.0,São Paulo
27,apartment,SP,southeast,-23.56837166691634,-46.75103256904411,250,650000.0,São Paulo
28,house,SP,southeast,-23.680842905666346,-46.678333144929056,110,550000.0,São Paulo
29,house,SP,southeast,-23.542694349631994,-46.56232067409943,120,1100000.0,São Paulo
30,house,SP,southeast,-26.2800802,-48.84999045,502,2985000.0,São Paulo
31,house,SP,southeast,-23.45394184552183,-46.618513025260924,268,1700000.0,São Paulo
32,house,SP,southeast,-22.933201623802894,-43.17702561704959,355,3100000.0,São Paulo
33,house,SP,southeast,-30.1759884,-51.1889235,1195,8700000.0,São Paulo
34,house,SP,southeast,-23.5156135,-46.705493331973294,220,849000.0,São Paulo
35,house,SP,southeast,-23.50658181716344,-46.506470246044564,320,890000.0,São Paulo
36,apartment,SP,southeast,-23.664227948373625,-46.64905090441362,180,550000.0,São Paulo
37,house,SP,southeast,-23.540703552954362,-46.51918200859413,325,1650000.0,São Paulo
38,apartment,SP,southeast,-23.636866978186823,-46.59703049305615,110,445000.0,São Paulo
39,apartment,SP,southeast,-23.62689206107349,-46.470116525988274,125,425000.0,São Paulo
40,house,SP,southeast,-23.4981150953761,-46.66418324224949,120,500000.0,São Paulo
41,apartment,SP,southeast,-23.618836950000002,-46.667425449999996,138,1060000.0,São Paulo
42,house,SP,southeast,-23.549557352406886,-46.70542210147631,401,3890000.0,São Paulo
43,house,SP,southeast,-23.592155465559408,-46.69572879764601,420,2200000.0,São Paulo
44,house,SP,southeast,-22.91148534116365,-43.22770728761091,260,1250000.0,São Paulo
45,apartment,SP,southeast,-23.728983409860394,-46.71067477886779,200,1250000.0,São Paulo
47,house,SP,southeast,-19.3300322,-41.2566171,132,390000.0,São Paulo
48,apartment,SP,southeast,-22.903761742014655,-47.09276512707575,154,650000.0,São Paulo
49,house,SP,southeast,-23.460776886928798,-46.6136335741998,300,1600000.0,São Paulo
50,apartment,SP,southeast,-23.59111859160851,-46.517917542109906,250,370000.0,São Paulo
51,apartment,SP,southeast,-23.661760752733016,-46.790442920240174,120,130000.0,São Paulo
52,house,SP,southeast,-23.516229316024745,-46.75099868161411,110,545000.0,São Paulo
53,apartment,SP,southeast,-23.609226151157312,-46.677892895643126,180,1100000.0,São Paulo
54,apartment,SP,southeast,-23.44810519356821,-46.61213050183563,151,520000.0,São Paulo
55,house,SP,southeast,-23.54022145,-46.41332015,170,325000.0,São Paulo
56,house,SP,southeast,-23.46239389547401,-46.59625697003935,211,890000.0,São Paulo
57,apartment,SP,southeast,-23.45252091224375,-46.71876353476371,102,409000.0,São Paulo
58,house,SP,southeast,-23.5410776,-46.6006031,177,1500000.0,São Paulo
59,apartment,SP,southeast,-23.6277608,-46.7054657,190,1100000.0,São Paulo
60,house,SP,southeast,-23.5873828,-46.71764795766417,650,5500000.0,São Paulo
61,apartment,SP,southeast,-10.460140978073408,-40.18073164377505,126,312000.0,São Paulo
62,apartment,SP,southeast,-23.49543356900928,-46.490208095029914,210,250000.0,São Paulo
63,house,SP,southeast,-23.6821499,-46.6824429,200,775000.0,São Paulo
64,apartment,SP,southeast,-22.87808385361861,-43.53836169015158,200,13000.0,São Paulo
65,house,SP,southeast,-23.527525961315877,-46.72034614995768,440,2200000.0,São Paulo
66,house,SP,southeast,-23.572212512613515,-46.53230684562385,225,780000.0,São Paulo
67,house,SP,southeast,-23.58446995033022,-46.58722476515293,350,980000.0,São Paulo
69,house,SP,southeast,-23.184678454593996,-45.95078263045477,249,1290000.0,São Paulo
70,house,SP,southeast,-25.4302108,-49.2582818,386,1680000.0,São Paulo
71,house,SP,southeast,-23.471520970156842,-46.75121005104787,99,650000.0,São Paulo
72,house,SP,southeast,-22.900125414403874,-43.26885158837345,663,14500000.0,São Paulo
73,house,SP,southeast,-23.57845126293461,-46.66764797706382,420,8700000.0,São Paulo
74,apartment,SP,southeast,-23.474962930434014,-46.61077475944414,211,1237000.0,São Paulo
75,apartment,SP,southeast,-21.702425688480453,-47.46985001667672,180,950000.0,São Paulo
76,house,SP,southeast,-23.52057550228348,-46.515015601798005,150,510000.0,São Paulo
77,apartment,SP,southeast,-23.54646509437418,-46.75909961020374,200,1500000.0,São Paulo
78,house,SP,southeast,-23.537381766969567,-46.67355862371883,452,4240000.0,São Paulo
79,apartment,SP,southeast,-23.53496086783321,-46.44023648818109,129,490000.0,São Paulo
80,apartment,SP,southeast,-23.625796591022215,-46.651710797242906,250,2190000.0,São Paulo
81,apartment,SP,southeast,-22.905298718894525,-43.59444297034845,250,2180000.0,São Paulo
82,apartment,SP,southeast,-23.583206234289214,-46.75530717626364,152,398000.0,São Paulo
83,house,SP,southeast,-22.828851300380705,-43.0721390379665,192,950000.0,São Paulo
84,house,SP,southeast,-23.605086687299,-46.65024940675902,184,1390000.0,São Paulo
85,apartment,SP,southeast,-23.664876978001416,-46.68014439030475,100,530000.0,São Paulo
86,house,SP,southeast,-23.653720910837382,-46.67242996281896,253,1280000.0,São Paulo
87,house,SP,southeast,-22.88954702713159,-43.46534557804707,850,6500000.0,São Paulo
88,apartment,SP,southeast,-23.49597227340392,-47.5326138713947,47,188200.0,São Paulo
89,house,SP,southeast,-23.560491537772688,-46.7047503665765,400,2900000.0,São Paulo
90,house,SP,southeast,-23.5499064,-46.7076422,358,3500000.0,São Paulo
91,house,SP,southeast,-25.299339456279995,-48.32658743632717,140,775000.0,São Paulo
92,house,SP,southeast,-23.641684449796557,-46.529075839877144,500,3500000.0,São Paulo
93,apartment,SP,southeast,-23.469088774962295,-46.57010736382852,119,670000.0,São Paulo
94,house,SP,southeast,-23.5873828,-46.71764795766417,650,3500000.0,São Paulo
95,apartment,SP,southeast,-23.29136268362156,-47.66460459654862,78,298000.0,São Paulo
96,house,SP,southeast,-23.611969665922558,-46.61249166970496,250,1500000.0,São Paulo
97,apartment,SP,southeast,-22.836934246642514,-43.35720270419695,84,470000.0,São Paulo
98,apartment,SP,southeast,-23.52798886799127,-46.72156162787741,243,2400000.0,São Paulo
99,house,SP,southeast,-23.6233944,-46.6710833,145,1350000.0,São Paulo
100,house,SP,southeast,-23.554443676809523,-46.56796941555754,150,800000.0,São Paulo
101,house,SP,southeast,-23.5980124,-46.52800115,240,890000.0,São Paulo
102,apartment,SP,southeast,-23.71319735272998,-46.69323993990152,167,630000.0,São Paulo
103,house,SP,southeast,-23.565694438711798,-46.5544043785722,256,1063830.0,São Paulo
104,house,SP,southeast,-23.604446799999998,-46.59655580013856,220,750000.0,São Paulo
105,house,SP,southeast,-12.9189775036359,-38.44575845168718,360,1800000.0,São Paulo
106,house,SP,southeast,-23.5873828,-46.71764795766417,354,2950000.0,São Paulo
107,house,SP,southeast,-23.584488016224988,-46.627272875818754,250,1350000.0,São Paulo
108,apartment,SP,southeast,-23.587760311579792,-46.496936639099715,186,750000.0,São Paulo
109,house,SP,southeast,-22.9017542,-45.417265477099974,44,180000.0,São Paulo
110,house,SP,southeast,-22.87808385361861,-43.53836169015158,756,37000000.0,São Paulo
111,house,SP,southeast,-23.538367766933945,-46.539906743797076,500,1200000.0,São Paulo
112,house,SP,southeast,-23.6294989,-46.6736894,400,2500000.0,São Paulo
113,house,SP,southeast,-22.8217964,-47.267105,627,4950000.0,São Paulo
115,apartment,SP,southeast,-23.48149195705282,-46.7252443338691,190,920000.0,São Paulo
116,house,SP,southeast,-23.5652185,-46.6601846,1060,30000000.0,São Paulo
117,apartment,SP,southeast,-23.55180755,-46.6073878,170,940000.0,São Paulo
118,house,SP,southeast,-25.2137338,-50.989934,1192,6200000.0,São Paulo
119,house,SP,southeast,-23.480713,-46.5958215,200,550000.0,São Paulo
120,house,SP,southeast,-22.888526450820734,-43.22396788782286,724,8000000.0,São Paulo
121,house,SP,southeast,-3.7735035,-38.5759918,300,430000.0,São Paulo
122,house,SP,southeast,-30.33024075,-54.33640941109168,120,650000.0,São Paulo
123,house,SP,southeast,-23.52919294021425,-46.699395220071345,160,940000.0,São Paulo
124,house,SP,southeast,-23.6121237986194,-46.64901957491556,200,2014000.0,São Paulo
125,house,SP,southeast,-23.49339047265917,-46.59766349793783,217,670000.0,São Paulo
126,house,SP,southeast,-23.520444812006915,-46.72560982845114,167,820000.0,São Paulo
127,house,SP,southeast,-23.560846937029876,-46.69372717159886,440,3950000.0,São Paulo
128,house,SP,southeast,-23.58943265,-46.6450461045747,250,2450000.0,São Paulo
129,house,SP,southeast,-23.65781480466297,-46.6709282342529,250,486000.0,São Paulo
130,apartment,SP,southeast,-23.609226151157312,-46.677892895643126,70,800000.0,São Paulo
133,house,SP,southeast,-23.59612375383599,-46.72745210436784,125,610000.0,São Paulo
134,apartment,SP,southeast,-23.5503950362634,-46.44356261863182,185,460000.0,São Paulo
136,house,SP,southeast,-23.53808499172005,-46.51951169459417,131,540000.0,São Paulo
137,apartment,SP,southeast,-23.64476842167663,-46.637556341746745,114,550000.0,São Paulo
138,house,SP,southeast,-7.119326940043127,-39.428549843813954,104,270000.0,São Paulo
139,house,SP,southeast,-23.65404085,-46.68540395,360,1750000.0,São Paulo
140,house,SP,southeast,-23.532128390723173,-46.69048157366374,98,1050000.0,São Paulo
141,house,SP,southeast,-23.635220586522554,-46.708683123273836,351,3480000.0,São Paulo
142,house,SP,southeast,-22.888526450820734,-43.22396788782286,700,7900000.0,São Paulo
143,house,SP,southeast,-22.897771205337428,-43.56848038721922,300,2400000.0,São Paulo
146,house,SP,southeast,-23.5464956,-46.6911243,534,4500000.0,São Paulo
147,house,SP,southeast,-23.5198462,-47.4760404,340,3000000.0,São Paulo
148,apartment,SP,southeast,-23.662582260625122,-46.61120863799224,200,2700000.0,São Paulo
149,apartment,SP,southeast,-23.582823909670083,-46.718555689855386,110,620000.0,São Paulo
150,house,SP,southeast,-23.530087669896517,-46.66440450084959,170,1600000.0,São Paulo
151,house,SP,southeast,-22.872805058120527,-43.34114741632567,340,2200000.0,São Paulo
152,house,SP,southeast,-23.52812753484418,-46.70077686589027,235,1280000.0,São Paulo
153,apartment,SP,southeast,-23.0928307,-45.6980665,114,510000.0,São Paulo
154,house,SP,southeast,-23.455228302332564,-46.61729667087835,300,1600000.0,São Paulo
155,house,SP,southeast,-23.46624508127134,-46.698326750798515,571,987000.0,São Paulo
156,apartment,SP,southeast,-23.656107379746135,-46.757544986118994,57,350000.0,São Paulo
157,house,SP,southeast,-23.568853933276586,-46.516258246037665,150,600000.0,São Paulo
158,house,SP,southeast,-23.5737047,-46.6823072,693,16000000.0,São Paulo
160,house,SP,southeast,-23.616205949750086,-46.61364458260026,257,1600000.0,São Paulo
161,apartment,SP,southeast,38.76567034631703,-9.34493369240854,140,900000.0,São Paulo
162,house,SP,southeast,-23.5693582,-46.7278225,299,2140000.0,São Paulo
163,house,SP,southeast,-23.57420133057146,-46.65219448236932,170,1490000.0,São Paulo
165,apartment,SP,southeast,-23.579634156114572,-46.61964565115909,200,1000000.0,São Paulo
166,apartment,SP,southeast,-22.867507260401858,-43.41948550414681,100,940000.0,São Paulo
167,house,SP,southeast,-22.3064403,-49.0940003,243,1390000.0,São Paulo
168,house,SP,southeast,-23.5837,-46.632740824206934,228,2200000.0,São Paulo
169,house,SP,southeast,-23.617371603281185,-46.65644032922627,420,1900000.0,São Paulo
170,apartment,SP,southeast,-22.9530115,-46.5344728,168,621000.0,São Paulo
171,house,SP,southeast,-23.5343382,-46.6983219,300,1300000.0,São Paulo
172,apartment,SP,southeast,-23.52834160965357,-46.55839095218988,110,450000.0,São Paulo
173,house,SP,southeast,-23.580071386741366,-46.714534573123025,350,1969000.0,São Paulo
174,house,SP,southeast,-23.634629976417383,-46.68374034256482,1200,6360000.0,São Paulo
175,house,SP,southeast,-23.667565850000003,-46.6104672,146,1550000.0,São Paulo
176,house,SP,southeast,-23.52812753484418,-46.70077686589027,130,688000.0,São Paulo
177,house,SP,southeast,-23.5273913,-46.7130594,170,1700000.0,São Paulo
178,house,SP,southeast,-23.450788358104976,-46.59274955259453,232,500000.0,São Paulo
180,house,SP,southeast,-23.567676229354714,-46.65761797147733,156,2340000.0,São Paulo
181,house,SP,southeast,-23.702788638665844,-46.73323861863931,250,580000.0,São Paulo
182,apartment,SP,southeast,-23.623052146895965,-46.59537422160448,200,570000.0,São Paulo
184,house,SP,southeast,-23.58578160153784,-46.6243483991097,231,1650000.0,São Paulo
185,house,SP,southeast,-23.5873828,-46.71764795766417,420,3500000.0,São Paulo
187,house,SP,southeast,-22.8126631,-43.20953885,140,490000.0,São Paulo
188,house,SP,southeast,-23.538731993603232,-46.75730082510651,350,2500000.0,São Paulo
189,apartment,SP,southeast,-23.689975236260807,-46.70704424823121,120,500000.0,São Paulo
191,house,SP,southeast,-23.469088774962295,-46.57010736382852,361,1490000.0,São Paulo
193,house,SP,southeast,-23.534039787616504,-46.696021403836205,65,480000.0,São Paulo
194,house,SP,southeast,-23.530686719849523,-46.47299755244009,180,300000.0,São Paulo
195,house,SP,southeast,-23.586627561751982,-46.66892856870979,363,5100000.0,São Paulo
197,apartment,SP,southeast,-23.531441389492866,-46.688259666401855,184,1272000.0,São Paulo
198,apartment,SP,southeast,-23.5827197,-46.6219813,230,1500000.0,São Paulo
200,house,SP,southeast,-23.5431007,-46.7074196,437,1850000.0,São Paulo
201,apartment,SP,southeast,-23.455659526155625,-46.731997103936166,176,620000.0,São Paulo
202,apartment,SP,southeast,-23.473255146403968,-46.64675067950151,88,455000.0,São Paulo
203,house,SP,southeast,-22.870931792459743,-43.47000499921343,713,26600000.0,São Paulo
204,house,SP,southeast,-23.621217250786113,-46.677233558333725,266,1750000.0,São Paulo
205,house,SP,southeast,-23.58668801170017,-46.62234599400626,430,3150000.0,São Paulo
206,house,SP,southeast,-23.66011725,-46.81889513497769,1060,11489000.0,São Paulo
207,house,SP,southeast,-23.665073904757453,-46.66222093899852,180,850000.0,São Paulo
209,house,SP,southeast,-23.5852388,-46.6911827,600,2200000.0,São Paulo
210,house,SP,southeast,-23.558447509394586,-46.696727095757026,180,2400000.0,São Paulo
211,apartment,SP,southeast,-23.592755748159224,-46.619929549967814,113,570000.0,São Paulo
212,house,SP,southeast,-23.7139643,-46.6990882,497,1300000.0,São Paulo
213,apartment,SP,southeast,-23.625605,-46.69596945,224,1500000.0,São Paulo
214,apartment,SP,southeast,-23.657274058693478,-46.737396714504314,127,540000.0,São Paulo
215,apartment,SP,southeast,-23.4817879,-46.62499,190,750000.0,São Paulo
217,house,SP,southeast,-23.473512089010775,-46.59908248808612,124,595000.0,São Paulo
218,house,SP,southeast,-23.6104722,-46.6212958,118,960000.0,São Paulo
219,house,SP,southeast,-23.534988391684298,-46.70570765056831,358,2160000.0,São Paulo
221,house,SP,southeast,-23.588399066219488,-46.71226811063005,546,3290000.0,São Paulo
222,house,SP,southeast,-22.9129284,-43.264334250000005,252,2900000.0,São Paulo
223,house,SP,southeast,-23.5431007,-46.7074196,293,3650000.0,São Paulo
224,house,SP,southeast,-23.51631,-47.4638271,639,3600000.0,São Paulo
226,apartment,SP,southeast,-23.5550577,-46.6801964,155,1300000.0,São Paulo
227,apartment,SP,southeast,-23.4713573,-46.6445383,80,374500.0,São Paulo
229,apartment,SP,southeast,-23.5268481715887,-46.61265211695478,180,750000.0,São Paulo
230,apartment,SP,southeast,-23.617373325008042,-46.614025085718744,230,660000.0,São Paulo
231,house,SP,southeast,-23.58817336697844,-46.74171339454075,260,940000.0,São Paulo
232,house,SP,southeast,-23.4912022,-46.5766581,500,990000.0,São Paulo
233,house,SP,southeast,-23.577734166647673,-46.613515713589464,300,1350000.0,São Paulo
235,house,SP,southeast,-23.5499064,-46.7076422,360,4950000.0,São Paulo
236,apartment,SP,southeast,-23.5940278,-46.6842193,120,1550000.0,São Paulo
237,house,SP,southeast,-23.59533335692936,-46.67379405272631,120,1550000.0,São Paulo
238,house,SP,southeast,-23.59734180993268,-46.70360777375793,1643,4500000.0,São Paulo
239,house,SP,southeast,-23.4771766,-46.6143865,381,1250000.0,São Paulo
240,house,SP,southeast,-23.553765084907134,-46.70670991707828,750,6500000.0,São Paulo
241,house,SP,southeast,-23.59751206444762,-46.72260182222037,554,2750000.0,São Paulo
243,apartment,SP,southeast,-23.6562303,-46.7191156,250,1600000.0,São Paulo
244,apartment,SP,southeast,-23.533906743487965,-46.719489684850245,229,949000.0,São Paulo
245,apartment,SP,southeast,-23.53485101718991,-46.75903301347292,200,710000.0,São Paulo
